"location","location2","location3","location4","lat_OSM","lon_OSM"
"Trashcan of Ideology","Trashcan of Ideology","Trashcan of Ideology","Trashcan of Ideology",,
"UK- Wales","UK- Wales","UK  Wales","UK  Wales",52.2928116,-3.73893
"Scottsdale","Scottsdale","Scottsdale","Scottsdale",33.4942189,-111.9260184
"Mumbai, Maharashtra","Mumbai, Maharashtra","Mumbai  Maharashtra","Mumbai  Maharashtra",18.9387711,72.8353355
"Vadodara, Gujarat","Vadodara, Gujarat","Vadodara  Gujarat","Vadodara  Gujarat",22.2973142,73.1942567
"Munger Bihar","Munger Bihar","Munger Bihar","Munger Bihar",25.22081165,86.5172036723528
"I <U+2764><U+FE0F>Texas","I Texas","I Texas","I Texas",39.0475581,-84.8935621
"Bengaluru ","Bengaluru ","Bengaluru ","Bengaluru",12.9791198,77.5912997
"Colorado/DC/Omaha","Colorado/DC/Omaha","Colorado DC Omaha","Colorado DC Omaha",,
" 361"," 361"," 361","361",51.5925314,3.71820110814971
"People's Republic-Scatifornia","People's Republic-Scatifornia","People s Republic Scatifornia","People s Republic Scatifornia",,
"Sta Rosa ,Laguna Philippines","Sta Rosa ,Laguna Philippines","Sta Rosa  Laguna Philippines","Sta Rosa  Laguna Philippines",14.3143529,121.112131
"Ready 2 Snipe","Ready 2 Snipe","Ready 2 Snipe","Ready 2 Snipe",,
"Bangladesh ","Bangladesh ","Bangladesh ","Bangladesh",24.4768783,90.2932426
"Redland, Florida","Redland, Florida","Redland  Florida","Redland  Florida",25.5284426,-80.4903347
"Quarantine mein","Quarantine mein","Quarantine mein","Quarantine mein",,
"<U+0001F4CD>Noida","Noida","Noida","Noida",28.5726442,77.3547609
"Fucking Z in bed","Fucking Z in bed","Fucking Z in bed","Fucking Z in bed",,
"Lima-peru","Lima-peru","Lima peru","Lima peru",-12.0621065,-77.0365256
"Louisville Kentucky","Louisville Kentucky","Louisville Kentucky","Louisville Kentucky",38.2542376,-85.759407
"Kolkata, India","Kolkata, India","Kolkata  India","Kolkata  India",22.5677459,88.3476023
"Space ship","Space ship","Space ship","Space ship",47.9094457,106.9220146
"Samastipur, India","Samastipur, India","Samastipur  India","Samastipur  India",25.7744929,85.8662681337012
"R.O.U","R.O.U","R O U","R O U",38.2693066,-0.7035291
"Goa, India","Goa, India","Goa  India","Goa  India",15.3004543,74.0855134
"AKRON OHIO USA","AKRON OHIO USA","AKRON OHIO USA","AKRON OHIO USA",41.083064,-81.518485
"Siberian hinterland of Twitter","Siberian hinterland of Twitter","Siberian hinterland of Twitter","Siberian hinterland of Twitter",,
"careless in the abyss","careless in the abyss","careless in the abyss","careless in the abyss",,
"Bangladesh","Bangladesh","Bangladesh","Bangladesh",24.4768783,90.2932426
"Kendrapada, India","Kendrapada, India","Kendrapada  India","Kendrapada  India",,
"Saturn","Saturn","Saturn","Saturn",48.33283305,10.0390825139055
"Nice, France","Nice, France","Nice  France","Nice  France",43.7009358,7.2683912
"Southeast US","Southeast US","Southeast US","Southeast US",41.4134491,-73.6231505
"Rawalpindi, Pakistan","Rawalpindi, Pakistan","Rawalpindi  Pakistan","Rawalpindi  Pakistan",33.6038766,73.048136
"Granger, IN","Granger, IN","Granger  IN","Granger  IN",41.73547645,-86.1397076819752
"Ormond Beach Florida","Ormond Beach Florida","Ormond Beach Florida","Ormond Beach Florida",29.2854132,-81.0557921
"London, Palm Beach","London, Palm Beach","London  Palm Beach","London  Palm Beach",51.55136925,-0.298566481018519
"Hadapsar Pune ","Hadapsar Pune ","Hadapsar Pune ","Hadapsar Pune",18.526967,73.9278252
"Bensonhurst, Brooklyn","Bensonhurst, Brooklyn","Bensonhurst  Brooklyn","Bensonhurst  Brooklyn",40.6049772,-73.9934061
"Ferozepur,. Punjab.","Ferozepur,. Punjab.","Ferozepur   Punjab ","Ferozepur   Punjab",30.6839733,76.3594033
"Fort Collins CO","Fort Collins CO","Fort Collins CO","Fort Collins CO",40.5508527,-105.0668085
"Auckland","Auckland","Auckland","Auckland",-36.852095,174.7631803
"Jammu And Kashmir","Jammu And Kashmir","Jammu And Kashmir","Jammu And Kashmir",33.53155445,75.3109635338607
"Pinehurst, North Carolina, USA","Pinehurst, North Carolina, USA","Pinehurst  North Carolina  USA","Pinehurst  North Carolina  USA",35.1946235,-79.4679317
"The Swamp ","The Swamp ","The Swamp ","The Swamp",53.4512396,-1.8442568
"Jammu, Jammu And Kashmir,<U+0001F1EE><U+0001F1F3>","Jammu, Jammu And Kashmir,","Jammu  Jammu And Kashmir ","Jammu  Jammu And Kashmir",32.7185614,74.8580917
"NEW DELHI","NEW DELHI","NEW DELHI","NEW DELHI",28.6141793,77.2022662
"New Shimla, Shimla","New Shimla, Shimla","New Shimla  Shimla","New Shimla  Shimla",31.0845266,77.1703168
"kolkata india","kolkata india","kolkata india","kolkata india",22.5677459,88.3476023
"Arizona/California, USA","Arizona/California, USA","Arizona California  USA","Arizona California  USA",33.7137821,-117.7935252
"Ithaca, NY","Ithaca, NY","Ithaca  NY","Ithaca  NY",42.4396039,-76.4968019
"Clown World","Clown ","Clown ","Clown",-45.9487776,50.4528298320056
"<U+0001F3DB>Washington, DC","Washington, DC","Washington  DC","Washington  DC",38.8949855,-77.0365708
"Midnight Sun.","Midnight Sun.","Midnight Sun ","Midnight Sun",33.6392695,-117.772817
"The Heart of America","The Heart of America","The Heart of America","The Heart of America",39.066957,-94.3335642859795
"Brooklyn and the world.","Brooklyn and the .","Brooklyn and the  ","Brooklyn and the",40.6501038,-73.9495823
"have.","have.","have ","have",6.757166,0.3603165
"Kalyug","Kalyug","Kalyug","Kalyug",,
"WWG1WGAWW","WWG1WGAWW","WWG1WGAWW","WWG1WGAWW",,
"Texoma","Texoma","Texoma","Texoma",33.95505255,-96.9571172432033
"St Augustine, FL","St Augustine, FL","St Augustine  FL","St Augustine  FL",29.8946952,-81.3145395
"Madison, Alabama","Madison, Alabama","Madison  Alabama","Madison  Alabama",34.7736807,-86.5675095
"Acercarse a El Dorado","Acercarse a El Dorado","Acercarse a El Dorado","Acercarse a El Dorado",,
"Minnesota (The Red Part)","Minnesota (The Red Part)","Minnesota  The Red Part ","Minnesota  The Red Part",,
"The key is His Mother","The key is His Mother","The key is His Mother","The key is His Mother",,
"Doha, Qatar","Doha, Qatar","Doha  Qatar","Doha  Qatar",25.2856329,51.5264162
"GUJARAT INDIA","GUJARAT INDIA","GUJARAT INDIA","GUJARAT INDIA",22.41540825,72.0314970369928
"Jogapatti, India","Jogapatti, India","Jogapatti  India","Jogapatti  India",26.90420865,84.3472041126452
"Pentagon City Washington, DC","Pentagon City Washington, DC","Pentagon City Washington  DC","Pentagon City Washington  DC",,
"Middle Tennessee ","Middle Tennessee ","Middle Tennessee ","Middle Tennessee",35.84860085,-86.360900433754
"Kokernag","Kokernag","Kokernag","Kokernag",33.56029675,75.3711761242582
"On a Mountain","On a Mountain","On a Mountain","On a Mountain",50.000678,-86.000977
"The beach::Florida","The beach::Florida","The beach  Florida","The beach  Florida",29.0705251,-80.9103345
"Assam, India","Assam, India","Assam  India","Assam  India",26.4073841,93.2551303
"Winter Springs, FL","Winter Springs, FL","Winter Springs  FL","Winter Springs  FL",28.693322,-81.2885095550076
"Gallatin, Tennessee","Gallatin, Tennessee","Gallatin  Tennessee","Gallatin  Tennessee",36.3883031,-86.4475898
"Western North Carolina","Western North Carolina","Western North Carolina","Western North Carolina",12.22430345,124.871808462533
"Tampa Florida","Tampa Florida","Tampa Florida","Tampa Florida",27.9477595,-82.458444
"Moon","Moon","Moon","Moon",58.5959044,23.2196460860244
"Asim kingdom<U+0001F451><U+0001F451><U+0001F451>","Asim kingdom","Asim kingdom","Asim kingdom",,
"chennai","chennai","chennai","chennai",13.0801721,80.2838331
"Texas Hill Country","Texas Hill Country","Texas Hill Country","Texas Hill Country",8.287729,-62.7292218
"Nicaragua","Nicaragua","Nicaragua","Nicaragua",12.6090157,-85.2936911
"GOSP","GOSP","GOSP","GOSP",-21.0457819,-49.3742307
"Alberta","Alberta","Alberta","Alberta",55.001251,-115.002136
"Space Coast, Florida, USA","Space Coast, Florida, USA","Space Coast  Florida  USA","Space Coast  Florida  USA",28.25711745,-80.7395872503542
"CA. USA","CA. USA","CA  USA","CA  USA",36.7014631,-118.7559974
"Birch Bay, WA","Birch Bay, WA","Birch Bay  WA","Birch Bay  WA",48.920598,-122.7429568
"Larchmont, NY","Larchmont, NY","Larchmont  NY","Larchmont  NY",40.9278769,-73.7517983
"Bridgetown, MS","Bridgetown, MS","Bridgetown  MS","Bridgetown  MS",40.3669343,-75.3048154887468
"The Salish Sea","The Salish Sea","The Salish Sea","The Salish Sea",48.4379876,-123.2942433
"San Ramon, California","San Ramon, California","San Ramon  California","San Ramon  California",37.7799273,-121.9780153
"ÜT: 47.56826,-122.328646","ÜT: 47.56826,-122.328646","ÜT  47 56826  122 328646","ÜT  47 56826  122 328646",,
"My<U+2764><U+FE0F>YorkieSpace#BluehandStrong","MyYorkieSpace#BluehandStrong","MyYorkieSpace BluehandStrong","MyYorkieSpace BluehandStrong",,
"Clarkston, Wa.","Clarkston, Wa.","Clarkston  Wa ","Clarkston  Wa",46.4162724,-117.0451796
"Maine/USA","Maine/USA","Maine USA","Maine USA",45.709097,-68.8590201
"Jupiter <U+0001F644>","Jupiter ","Jupiter ","Jupiter",26.9260832,-80.1210891406095
"Communist State of New Jersey","Communist State of New Jersey","Communist State of New Jersey","Communist State of New Jersey",,
"Lyallpur, Pakistan","Lyallpur, Pakistan","Lyallpur  Pakistan","Lyallpur  Pakistan",31.3389815,73.1549758
"Tacoma WA","Tacoma WA","Tacoma WA","Tacoma WA",47.2495798,-122.4398746
"#AsiChai <U+2615> ","#AsiChai  "," AsiChai  ","AsiChai",,
"<U+092D><U+093E><U+0930><U+0924> India"," India"," India","India",22.3511148,78.6677428
"Ireland, Scotland Wales","Ireland, Scotland Wales","Ireland  Scotland Wales","Ireland  Scotland Wales",,
"Madeira beach, fla","Madeira beach, fla","Madeira beach  fla","Madeira beach  fla",27.7980814,-82.7973247
"The Audient Void","The Audient Void","The Audient Void","The Audient Void",,
"Khiengphiung Üangdieu","Khiengphiung Üangdieu","Khiengphiung Üangdieu","Khiengphiung Üangdieu",,
"Cambridge, England","Cambridge, England","Cambridge  England","Cambridge  England",41.0083446,28.9545875
"Desoto County, Mississippi","Desoto County, Mississippi","Desoto County  Mississippi","Desoto County  Mississippi",34.8703284,-89.9778704
"Amazon.com","Amazon.com","Amazon com","Amazon com",37.3350355,-121.8872137
"Central CA","Central CA","Central CA","Central CA",53.5409965,-113.4923014
"Shimoga, India","Shimoga, India","Shimoga  India","Shimoga  India",13.9311723,75.569737
"Walnut Creek, CA","Walnut Creek, CA","Walnut Creek  CA","Walnut Creek  CA",56.7698423,-111.4704995
"Belly o' the beast","Belly o' the beast","Belly o  the beast","Belly o  the beast",42.3186545,-72.6314225
"Thane, India","Thane, India","Thane  India","Thane  India",19.1943294,72.9701779
"TEXAS USA<U+0001F1FA><U+0001F1F8>","TEXAS USA","TEXAS USA","TEXAS USA",31.8160381,-99.5120986
"Powell, WY","Powell, WY","Powell  WY","Powell  WY",34.0015844,-117.3606646
"Mera Asim Land ","Mera Asim Land ","Mera Asim Land ","Mera Asim Land",,
"REGISTER 2 VOTE","REGISTER 2 VOTE","REGISTER 2 VOTE","REGISTER 2 VOTE",,
"AbuDhabi United Arab Emirates ","AbuDhabi United Arab Emirates ","AbuDhabi United Arab Emirates ","AbuDhabi United Arab Emirates",25.2747757,55.3020601
"  london ","  london ","  london ","london",51.5073219,-0.1276474
"Trenton, NJ","Trenton, NJ","Trenton  NJ","Trenton  NJ",40.2170575,-74.7429463
"IC1101","IC1101","IC1101","IC1101",,
"not Washington DC","not Washington DC","not Washington DC","not Washington DC",38.9002276,-77.0527463
"Stockholm","Stockholm","Stockholm","Stockholm",59.3251172,18.0710935
"TextTRUMPto88022","TextTRUMPto88022","TextTRUMPto88022","TextTRUMPto88022",,
"Acworth","Acworth","Acworth","Acworth",34.0659329,-84.6768796
"lost in time and space","lost in time and space","lost in time and space","lost in time and space",,
"Indian Country","Indian Country","Indian Country","Indian Country",32.72163905,-102.645453729051
"NW WI","NW WI","NW WI","NW WI",23.111166,98.663544
"Sierra Foothills, CA","Sierra Foothills, CA","Sierra Foothills  CA","Sierra Foothills  CA",33.58458185,-111.808976766922
"Wakanda, we have a wall and allow no refugees, just like the movie.","Wakanda, we have a wall and allow no refugees, just like the movie.","Wakanda  we have a wall and allow no refugees  just like the movie ","Wakanda  we have a wall and allow no refugees  just like the movie",,
"west of the Mississippi","west of the Mississippi","west of the Mississippi","west of the Mississippi",32.9715645,-89.7348497
"WNY","WNY","WNY","WNY",23.10648,40.693703
".Australia.",".Australia."," Australia ","Australia",-24.7761086,134.755
"Laramie, WY","Laramie, WY","Laramie  WY","Laramie  WY",32.805984,-117.070831
"#JESUS #MAGA #KAG","#JESUS #MAGA #KAG"," JESUS  MAGA  KAG","JESUS  MAGA  KAG",,
"dayton, OH","dayton, OH","dayton  OH","dayton  OH",39.7589478,-84.1916069
"Cynthiana, KY","Cynthiana, KY","Cynthiana  KY","Cynthiana  KY",38.3903526,-84.2941013
"Lithia Springs, GA","Lithia Springs, GA","Lithia Springs  GA","Lithia Springs  GA",33.7939953,-84.6604899
"Fort Myers  FL, USA","Fort Myers  FL, USA","Fort Myers  FL  USA","Fort Myers  FL  USA",26.640628,-81.8723084
"ATLviaBAL","ATLviaBAL","ATLviaBAL","ATLviaBAL",,
"The Refrigerator ","The Refrigerator ","The Refrigerator ","The Refrigerator",33.98462395,48.6458536618061
"Pace, FL","Pace, FL","Pace  FL","Pace  FL",30.5964175,-87.1662646893187
"Reality","Reality","Reality","Reality",52.3658704,4.8952407
"PY/CA","PY/CA","PY CA","PY CA",42.49576,2.3506675
"Yorkshire","Yorkshire","Yorkshire","Yorkshire",38.7930988,-77.4479432
"Kingman az","Kingman az","Kingman az","Kingman az",35.189443,-114.0530065
"Saint Andrews, Scotland","Saint Andrews, Scotland","Saint Andrews  Scotland","Saint Andrews  Scotland",56.3403902,-2.7955844
"Zihuatanejo, Mexico","Zihuatanejo, Mexico","Zihuatanejo  Mexico","Zihuatanejo  Mexico",17.6467874,-101.5519746
"Branson, MO","Branson, MO","Branson  MO","Branson  MO",36.6411357,-93.2175285
"Eternia","Eternia","Eternia","Eternia",50.0656142,14.4077169
"in Happyville, USA","in Happyville, USA","in Happyville  USA","in Happyville  USA",31.034245,-82.736572
"<U+2642>Poems-Thoughts Copyrighted ©","Poems-Thoughts Copyrighted ©","Poems Thoughts Copyrighted ©","Poems Thoughts Copyrighted ©",,
"The Villages, Florida","The Villages, Florida","The Villages  Florida","The Villages  Florida",28.9468504,-81.9533443
"America the beautiful!<U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8>","America the beautiful!","America the beautiful ","America the beautiful",33.8123931,-117.917672671354
"Fort Worth, Texas","Fort Worth, Texas","Fort Worth  Texas","Fort Worth  Texas",32.753177,-97.3327459
"LOS ANGELOS CA.","LOS ANGELOS CA.","LOS ANGELOS CA ","LOS ANGELOS CA",42.7874211,-80.2041217
"Dallas","Dallas","Dallas","Dallas",32.7762719,-96.7968559
"Quarantine Zone F","Quarantine Zone F","Quarantine Zone F","Quarantine Zone F",33.2296111,-79.2042149
"Oak Ridge, Tn. aka Secret City","Oak Ridge, Tn. aka Secret City","Oak Ridge  Tn  aka Secret City","Oak Ridge  Tn  aka Secret City",,
"Hickory, NC","Hickory, NC","Hickory  NC","Hickory  NC",35.7333312,-81.3442915
"Destination.2.Justice","Destination.2.Justice","Destination 2 Justice","Destination 2 Justice",43.59903015,-79.5146135859899
"YourMind","YourMind","YourMind","YourMind",,
"Miami","Miami","Miami","Miami",25.7742658,-80.1936589
"Knoxville","Knoxville","Knoxville","Knoxville",35.9603948,-83.9210261
"New Port Richey, FL","New Port Richey, FL","New Port Richey  FL","New Port Richey  FL",28.2441768,-82.7192671
"jersey","jersey","jersey","jersey",49.21230655,-2.12559995964288
"Prague, Czech Republic","Prague, Czech Republic","Prague  Czech Republic","Prague  Czech Republic",50.0874654,14.4212535
"Independence, MO","Independence, MO","Independence  MO","Independence  MO",39.0924792,-94.4137923
"Fortress Monastery @ Baal","Fortress Monastery @ Baal","Fortress Monastery   Baal","Fortress Monastery   Baal",,
"Through the Looking Glass @ th","Through the Looking Glass @ th","Through the Looking Glass   th","Through the Looking Glass   th",,
"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Kuala Lumpur  Malaysia","Kuala Lumpur  Malaysia",3.1516964,101.6942371
"Central Mississippi","Central Mississippi","Central Mississippi","Central Mississippi",32.9715645,-89.7348497
"Missouri","Missouri","Missouri","Missouri",38.7604815,-92.5617875
"Islamorada, FL","Islamorada, FL","Islamorada  FL","Islamorada  FL",24.9242995,-80.6278404
"Farmers Branch, TX","Farmers Branch, TX","Farmers Branch  TX","Farmers Branch  TX",32.9265137,-96.8961151
"ATL, GA","ATL, GA","ATL  GA","ATL  GA",33.63779875,-84.4292711858567
"okc","okc","okc","okc",35.3848053,-97.6053442508241
"swamps of ???","swamps of ???","swamps of    ","swamps of",36.5514333,-86.8463866
"Defending The Constitution","Defending The Constitution","Defending The Constitution","Defending The Constitution",,
"Mer·i·ca ","Mer·i·ca ","Mer i ca ","Mer i ca",32.6912725,51.677891
"New Jersey is poo","New Jersey is poo","New Jersey is poo","New Jersey is poo",,
" BoortzBus IV."," BoortzBus IV."," BoortzBus IV ","BoortzBus IV",,
"CT","CT","CT","CT",41.6500201,-72.7342163
"Greater Benin Diaspora","Greater Benin Diaspora","Greater Benin Diaspora","Greater Benin Diaspora",,
"Behind You","Behind You","Behind You","Behind You",44.4450757,-68.9994788
"Saxonia","Saxonia","Saxonia","Saxonia",50.9295798,13.4585052
"Western Canada","Western Canada","Western Canada","Western Canada",45.9416314,-74.2284004
"Delray Beach, FL","Delray Beach, FL","Delray Beach  FL","Delray Beach  FL",26.4614625,-80.0728201
"Urmia City","Urmia City","Urmia City","Urmia City",37.5493473,45.0682863
"Yorkshire Fridaythorpe","Yorkshire Fridaythorpe","Yorkshire Fridaythorpe","Yorkshire Fridaythorpe",54.02291825,-0.660078636732351
"Room 101 of The Matrix","Room 101 of The Matrix","Room 101 of The Matrix","Room 101 of The Matrix",,
"actually from dc","actually from dc","actually from dc","actually from dc",,
"Bekasi Timur, Indonesia","Bekasi Timur, Indonesia","Bekasi Timur  Indonesia","Bekasi Timur  Indonesia",-6.2616345,107.0168459
"Co.Down, Ireland","Co.Down, Ireland","Co Down  Ireland","Co Down  Ireland",54.3517857,-5.96156769263954
"New Hampshire ","New Hampshire ","New Hampshire ","New Hampshire",43.4849133,-71.6553992
"Bromley","Bromley","Bromley","Bromley",51.4028046,0.0148142
"Omaha Nebraska ","Omaha Nebraska ","Omaha Nebraska ","Omaha Nebraska",41.2587459,-95.9383758
"Karnavati Gujarat Bharatvarsha","Karnavati Gujarat Bharatvarsha","Karnavati Gujarat Bharatvarsha","Karnavati Gujarat Bharatvarsha",,
"NW Minnesota","NW Minnesota","NW Minnesota","NW Minnesota",45.9896587,-94.6113288
"Faroe Islands","Faroe Islands","Faroe Islands","Faroe Islands",62.19850045,-6.81741243341217
"Silver City, SD","Silver City, SD","Silver City  SD","Silver City  SD",44.0838939,-103.564402590788
"South Tulsa, Oklahoma, U.S.A","South Tulsa, Oklahoma, U.S.A","South Tulsa  Oklahoma  U S A","South Tulsa  Oklahoma  U S A",,
"Montes Claros, MG","Montes Claros, MG","Montes Claros  MG","Montes Claros  MG",-16.7273538,-43.8717676
"Uranus","Uranus","Uranus","Uranus",55.69699925,13.2131105408607
"Mishawaka, IN","Mishawaka, IN","Mishawaka  IN","Mishawaka  IN",41.6619927,-86.1586156
"Manitoba, Canada","Manitoba, Canada","Manitoba  Canada","Manitoba  Canada",55.001251,-97.001038
"The Revolution","The Revolution","The Revolution","The Revolution",34.4216491,-118.5963185
"Nilbog, GA","Nilbog, GA","Nilbog  GA","Nilbog  GA",,
"São Paulo - Brasil","São Paulo - Brasil","São Paulo   Brasil","São Paulo   Brasil",-23.5506507,-46.6333824
"unfortunately New York, USA","unfortunately New York, USA","unfortunately New York  USA","unfortunately New York  USA",,
"Hot Springs, AR.","Hot Springs, AR.","Hot Springs  AR ","Hot Springs  AR",-24.2381727,-64.1592782
"""And the day came when the risk it took to stay tight inside the bud was more painful than the risk it took to blossom."" - Anais Nin","""And the day came when the risk it took to stay tight inside the bud was more painful than the risk it took to blossom."" - Anais Nin"," And the day came when the risk it took to stay tight inside the bud was more painful than the risk it took to blossom     Anais Nin","And the day came when the risk it took to stay tight inside the bud was more painful than the risk it took to blossom     Anais Nin",,
"PoekadudietoDpoe","PoekadudietoDpoe","PoekadudietoDpoe","PoekadudietoDpoe",,
"Daytona Beach, FL","Daytona Beach, FL","Daytona Beach  FL","Daytona Beach  FL",29.209288,-81.0226483
"northern Annexia","northern Annexia","northern Annexia","northern Annexia",,
"Hong Kong  ","Hong Kong  ","Hong Kong  ","Hong Kong",22.2793278,114.1628131
"Not Wu York","Not Wu York","Not Wu York","Not Wu York",43.507219,-70.61189
"Under Surveillance ","Under Surveillance ","Under Surveillance ","Under Surveillance",,
"Flyover Country","Flyover Country","Flyover Country","Flyover Country",17.43760425,78.4575347153913
"Grand Rapids, Michigan","Grand Rapids, Michigan","Grand Rapids  Michigan","Grand Rapids  Michigan",42.9632405,-85.6678639
"Tucson, AZ","Tucson, AZ","Tucson  AZ","Tucson  AZ",32.2228765,-110.9748477
"Bulgravia","Bulgravia","Bulgravia","Bulgravia",,
"Lanark, Ontario","Lanark, Ontario","Lanark  Ontario","Lanark  Ontario",45.047011,-76.3298878
"Grantham, Ontario","Grantham, Ontario","Grantham  Ontario","Grantham  Ontario",43.2010344,-79.2221236
"The Novel 1984","The Novel 1984","The Novel 1984","The Novel 1984",46.3687798,6.7885646
"stargate","stargate","stargate","stargate",54.965772,-1.7489271
"ATLANTA ","ATLANTA ","ATLANTA ","ATLANTA",33.7490987,-84.3901849
"Port Richey, FL","Port Richey, FL","Port Richey  FL","Port Richey  FL",28.2716755,-82.7195451
"Louverné, Pays de la Loire","Louverné, Pays de la Loire","Louverné  Pays de la Loire","Louverné  Pays de la Loire",48.1214342,-0.7174
"NY ","NY ","NY ","NY",43.1561681,-75.8449946
"Canterbury, England <U+0001F1EC><U+0001F1E7><U+0001F1FA><U+0001F1F8>","Canterbury, England ","Canterbury  England ","Canterbury  England",51.2800275,1.0802533
"Terre","Terre","Terre","Terre",8.5322391,38.6264712
"Saco, ME","Saco, ME","Saco  ME","Saco  ME",43.5009176,-70.4428286
"Beautiful Sunny La Quinta CA","Beautiful Sunny La Quinta CA","Beautiful Sunny La Quinta CA","Beautiful Sunny La Quinta CA",,
"Moscow, Russia","Moscow, Russia","Moscow  Russia","Moscow  Russia",55.7504461,37.6174943
" USA, London, Asia."," USA, London, Asia."," USA  London  Asia ","USA  London  Asia",,
"Nopantsistan","Nopantsistan","Nopantsistan","Nopantsistan",,
"Ontario, CDA ca. 1791 ","Ontario, CDA ca. 1791 ","Ontario  CDA ca  1791 ","Ontario  CDA ca  1791",,
"Mon-cloaca Palace","Mon-cloaca Palace","Mon cloaca Palace","Mon cloaca Palace",,
"ipswich","ipswich","ipswich","ipswich",52.0579495,1.1526345
"Woodland Hills, Los Angeles","Woodland Hills, Los Angeles","Woodland Hills  Los Angeles","Woodland Hills  Los Angeles",34.1684364,-118.6058382
"Christmas Island","Christmas Island","Christmas Island","Christmas Island",-10.49124145,105.617351489796
"Bellarine Peninsula, Victoria","Bellarine Peninsula, Victoria","Bellarine Peninsula  Victoria","Bellarine Peninsula  Victoria",-38.1646794,144.3675677
"Toms River, New Jersey, USA","Toms River, New Jersey, USA","Toms River  New Jersey  USA","Toms River  New Jersey  USA",39.9537359,-74.1979576
"Flint","Flint","Flint","Flint",43.0161693,-83.6900211
"Sunrise Minnesota Chisago Co. ","Sunrise Minnesota Chisago Co. ","Sunrise Minnesota Chisago Co  ","Sunrise Minnesota Chisago Co",45.5469049,-92.8549364
"Texas Y'all<U+0001F3B6>","Texas Y'all","Texas Y all","Texas Y all",32.415706,-87.029428
"basingstoke","basingstoke","basingstoke","basingstoke",51.262826,-1.0861976
"Toronto ","Toronto ","Toronto ","Toronto",43.6534817,-79.3839347
"Navi Mumbai","Navi Mumbai","Navi Mumbai","Navi Mumbai",19.0308262,73.0198537
"Sidney, OH","Sidney, OH","Sidney  OH","Sidney  OH",40.2842164,-84.1554987
"Orange Beach, AL","Orange Beach, AL","Orange Beach  AL","Orange Beach  AL",30.28285585,-87.6243770062272
"NuffK'nation(NuffKay)","NuffK'nation(NuffKay)","NuffK nation NuffKay ","NuffK nation NuffKay",,
"Cornwall. U.K","Cornwall. U.K","Cornwall  U K","Cornwall  U K",50.416667,-4.75
"Upper Peninsula","Upper Peninsula","Upper Peninsula","Upper Peninsula",46.5436104,-87.3962884
"Marquette, MI Upper Peninsula","Marquette, MI Upper Peninsula","Marquette  MI Upper Peninsula","Marquette  MI Upper Peninsula",46.5436104,-87.3962884
"Upper Peninsula Michigan","Upper Peninsula Michigan","Upper Peninsula Michigan","Upper Peninsula Michigan",46.5436104,-87.3962884
"Trillion-Fold World","Trillion-Fold ","Trillion Fold ","Trillion Fold",,
"<U+0001F1EC><U+0001F1E7>London","London","London","London",51.5073219,-0.1276474
"Workington, England","Workington, England","Workington  England","Workington  England",54.6415716,-3.5459287
"Bilaspur, India","Bilaspur, India","Bilaspur  India","Bilaspur  India",28.8680526,79.2983850146012
"Karlsruhe, Germany","Karlsruhe, Germany","Karlsruhe  Germany","Karlsruhe  Germany",49.0068705,8.4034195
"#TheGreatAwakening #5GIsAControlGrid #POTUS #MAGA #FormerDemocrat #WalkAway #ForGodAndCountry","#TheGreatAwakening #5GIsAControlGrid #POTUS #MAGA #FormerDemocrat #WalkAway #ForGodAndCountry"," TheGreatAwakening  5GIsAControlGrid  POTUS  MAGA  FormerDemocrat  WalkAway  ForGodAndCountry","TheGreatAwakening  5GIsAControlGrid  POTUS  MAGA  FormerDemocrat  WalkAway  ForGodAndCountry",,
"Hong Kong, My Homeland","Hong Kong, My Homeland","Hong Kong  My Homeland","Hong Kong  My Homeland",,
"Baudland","Baudland","Baudland","Baudland",,
"<U+0001F1E6><U+0001F1FA>pointy end of Oz","pointy end of Oz","pointy end of Oz","pointy end of Oz",,
"Alkmaar, Nederland","Alkmaar, Nederland","Alkmaar  Nederland","Alkmaar  Nederland",52.6312592,4.7503798
"Adelaide, Australia.","Adelaide, Australia.","Adelaide  Australia ","Adelaide  Australia",-34.9281805,138.5999312
"Snake state","Snake state","Snake state","Snake state",41.8481529,-71.5255967
"GTA, Ontario","GTA, Ontario","GTA  Ontario","GTA  Ontario",43.7321588,-79.460921
"Another remote location","Another remote location","Another remote location","Another remote location",,
"Plano, TX","Plano, TX","Plano  TX","Plano  TX",33.0136764,-96.6925096
"Deltarune","Deltarune","Deltarune","Deltarune",,
"in your place, hell","in your place, hell","in your place  hell","in your place  hell",,
"Pittsburgh (aka ""Iceburgh""),PA","Pittsburgh (aka ""Iceburgh""),PA","Pittsburgh  aka  Iceburgh   PA","Pittsburgh  aka  Iceburgh   PA",,
"U.S. ","U.S. ","U S  ","U S",45.1895845,-88.73215845
"Ghazipur , Kanpur, (UP) India","Ghazipur , Kanpur, (UP) India","Ghazipur   Kanpur   UP  India","Ghazipur   Kanpur   UP  India",,
"chorley","chorley","chorley","chorley",53.6531915,-2.6294313
"Budapest & Murrumbateman","Budapest & Murrumbateman","Budapest   Murrumbateman","Budapest   Murrumbateman",,
"Atlanta Ga","Atlanta Ga","Atlanta Ga","Atlanta Ga",33.7490987,-84.3901849
