"location","location2","location3","location4","lon_google","lat_google"
"Seattle, Washington","Seattle, Washington","Seattle  Washington","Seattle  Washington",-122.3320708,47.6062095
"Parineca, Alabama","Parineca, Alabama","Parineca  Alabama","Parineca  Alabama",-86.902298,32.3182314
"uk","uk","uk","uk",-3.435973,55.378051
"Cuyahoga Falls, OH","Cuyahoga Falls, OH","Cuyahoga Falls  OH","Cuyahoga Falls  OH",-81.4845585,41.1339449
"Washington DC <U+0001F1FA><U+0001F1F8>","Washington DC ","Washington DC ","Washington DC",-77.0368707,38.9071923
"OAKA","OAKA","OAKA","OAKA",-115.2712252,36.0194548
"West Gulf Coast Florida","West Gulf Coast Florida","West Gulf Coast Florida","West Gulf Coast Florida",-85.303055,29.749422
"Mills River","Mills River","Mills River","Mills River",-82.566789,35.3884479
"Barcelona, Spain","Barcelona, Spain","Barcelona  Spain","Barcelona  Spain",2.1734035,41.3850639
"Ashburn Virginia","Ashburn Virginia","Ashburn Virginia","Ashburn Virginia",-77.4874416,39.0437567
"Mansfield, Ohio","Mansfield, Ohio","Mansfield  Ohio","Mansfield  Ohio",-82.5154471,40.75839
"Edinburgh/ Oslo/ Florence","Edinburgh/ Oslo/ Florence","Edinburgh  Oslo  Florence","Edinburgh  Oslo  Florence",-3.188267,55.953252
"Colorado, USA","Colorado, USA","Colorado  USA","Colorado  USA",-105.7820674,39.5500507
"Germany","Germany","Germany","Germany",10.451526,51.165691
"Hawaii, USA","Hawaii, USA","Hawaii  USA","Hawaii  USA",-155.5827818,19.8967662
"Miami, Fl ","Miami, Fl ","Miami  Fl ","Miami  Fl",-80.1917902,25.7616798
"New Jersey ","New Jersey ","New Jersey ","New Jersey",-74.4056612,40.0583238
"Heaven is my home","Heaven is my home","Heaven is my home","Heaven is my home",,
"Seattle","Seattle","Seattle","Seattle",-122.3320708,47.6062095
"Warm In Bed","Warm In Bed","Warm In Bed","Warm In Bed",-84.680395,32.890561
"ela/dela","ela/dela","ela dela","ela dela",,
"Namibia <U+0001F1F3><U+0001F1E6>","Namibia ","Namibia ","Namibia",18.49041,-22.95764
"Virginia","Virginia","Virginia","Virginia",-78.6568942,37.4315734
"Indianapolis, IN","Indianapolis, IN","Indianapolis  IN","Indianapolis  IN",-86.158068,39.768403
"unreal city, zero summer","unreal city, zero summer","unreal city  zero summer","unreal city  zero summer",,
"Isla de Margarita, Venezuela","Isla de Margarita, Venezuela","Isla de Margarita  Venezuela","Isla de Margarita  Venezuela",-63.9113296,10.9970723
"AZ USA","AZ USA","AZ USA","AZ USA",-111.0937311,34.0489281
"Pakistan","Pakistan","Pakistan","Pakistan",69.345116,30.375321
"Silchar, India","Silchar, India","Silchar  India","Silchar  India",92.7789054,24.8332708
"The Republic of Texas, USA","The Republic of Texas, USA","The Republic of Texas  USA","The Republic of Texas  USA",-98.4881242,29.4239923
"Lisboa, Portugal","Lisboa, Portugal","Lisboa  Portugal","Lisboa  Portugal",-9.1393366,38.7222524
"United Arab Emirates","United Arab Emirates","United Arab Emirates","United Arab Emirates",53.847818,23.424076
"Da Nang, Vietnam","Da Nang, Vietnam","Da Nang  Vietnam","Da Nang  Vietnam",108.2021667,16.0544068
"718","718","718","718",-95.6174972,37.0364533
"Lithonia, GA","Lithonia, GA","Lithonia  GA","Lithonia  GA",-84.1051939,33.7123305
"Minnesota, USA","Minnesota, USA","Minnesota  USA","Minnesota  USA",-94.6858998,46.729553
"Mister Trump!","Mister Trump!","Mister Trump ","Mister Trump",,
"Margaritaville","Margaritaville","Margaritaville","Margaritaville",-93.7436314,32.5211504
"Englishtown, NJ","Englishtown, NJ","Englishtown  NJ","Englishtown  NJ",-74.3582041,40.2973319
"vernon","vernon","vernon","vernon",-118.230073,34.003903
"NJ ","NJ ","NJ ","NJ",-74.4056612,40.0583238
"Newport, RI","Newport, RI","Newport  RI","Newport  RI",-71.3128285,41.4901024
"Northern California","Northern California","Northern California","Northern California",-120.8958242,38.8375215
"TM, West Africa","TM, West Africa","TM  West Africa","TM  West Africa",-2.4604145,13.531665
"Castle Rock, CO","Castle Rock, CO","Castle Rock  CO","Castle Rock  CO",-104.8560902,39.3722121
"Walkden, England","Walkden, England","Walkden  England","Walkden  England",-2.3986825,53.5237032
"Texas, USA <U+0001F1FA><U+0001F1F8>","Texas, USA ","Texas  USA ","Texas  USA",-99.9018131,31.9685988
"Manassas, VA","Manassas, VA","Manassas  VA","Manassas  VA",-77.4752667,38.7509488
"Los Alamitos, CA","Los Alamitos, CA","Los Alamitos  CA","Los Alamitos  CA",-118.0718894,33.8032009
"Kenya","Kenya","Kenya","Kenya",37.906193,-0.023559
"Arizona","Arizona","Arizona","Arizona",-111.0937311,34.0489281
"Nederland","Nederland","Nederland","Nederland",-105.5108312,39.9613759
"Dallas, Texas","Dallas, Texas","Dallas  Texas","Dallas  Texas",-96.7969879,32.7766642
"LockDown","LockDown","LockDown","LockDown",-111.9162496,33.4517204
"Shasta Lake","Shasta Lake","Shasta Lake","Shasta Lake",-122.3708419,40.6804279
"Manhattan, 10028","Manhattan, 10028","Manhattan  10028","Manhattan  10028",-73.9521468,40.7766412
"Cape Town","Cape Town","Cape Town","Cape Town",18.4240553,-33.9248685
"Tessa<U+03BB><U+03BF><U+03BD><U+03AF><U+03BA><U+03B7>, <U+0395><U+03BB><U+03BB><U+03AC><U+03C2>","Tessa","Tessa","Tessa",-73.9792187,40.781437
"Washington DC ","Washington DC ","Washington DC ","Washington DC",-77.0368707,38.9071923
"Noord-Ierland","Noord-Ierland","Noord Ierland","Noord Ierland",-6.4923145,54.7877149
"Global... #WWG1WGA","Global... #WWG1WGA","Global     WWG1WGA","Global     WWG1WGA",,
"In a Galaxy Far Far Away.","In a  Far Far Away.","In a  Far Far Away ","In a  Far Far Away",-74.5525255,40.1730469
"SE Mich","SE Mich","SE Mich","SE Mich",-85.6023643,44.3148443
"Ohio, USA","Ohio, USA","Ohio  USA","Ohio  USA",-82.907123,40.4172871
"Quito, Ecuador","Quito, Ecuador","Quito  Ecuador","Quito  Ecuador",-78.4678382,-0.1806532
"www","www","www","www",,
"Missouri, USA","Missouri, USA","Missouri  USA","Missouri  USA",-91.8318334,37.9642529
"Boston ","Boston ","Boston ","Boston",-71.0588801,42.3600825
"North California, FUSA","North California, FUSA","North California  FUSA","North California  FUSA",-120.8958242,38.8375215
"East Coast","East Coast","East Coast","East Coast",-94.1367321,36.2590088
"Spain","Spain","Spain","Spain",-3.74922,40.463667
"Cypress, Texas","Cypress, Texas","Cypress  Texas","Cypress  Texas",-95.6937856,29.9716905
"Gove to Codeofvets","Gove to Codeofvets","Gove to Codeofvets","Gove to Codeofvets",,
"A Galaxy Far Far Away ","A  Far Far Away ","A  Far Far Away ","A  Far Far Away",-74.5525255,40.1730469
"Capitol, Panem","Capitol, Panem","Capitol  Panem","Capitol  Panem",,
"Last house on the right","Last house on the right","Last house on the right","Last house on the right",,
"<U+30A8><U+30A2><U+30B3><U+30F3><U+306E><U+8FD1><U+304F><U+306B><U+751F><U+606F>/Japan","/Japan"," Japan","Japan",138.252924,36.204824
"Digital Battleground","Digital Battleground","Digital Battleground","Digital Battleground",-81.3404545,28.556283
"Sydney, New South Wales","Sydney, New South Wales","Sydney  New South Wales","Sydney  New South Wales",151.2092955,-33.8688197
"Toronto","Toronto","Toronto","Toronto",-79.3831843,43.653226
"Athens","Athens","Athens","Athens",23.7275388,37.9838096
"Greece","Greece","Greece","Greece",21.824312,39.074208
"New Delhi, India","New Delhi, India","New Delhi  India","New Delhi  India",77.2090212,28.6139391
"South Africa","South Africa","South Africa","South Africa",22.937506,-30.559482
"Madrid, Comunidad de Madrid","Madrid, Comunidad de Madrid","Madrid  Comunidad de Madrid","Madrid  Comunidad de Madrid",-3.7037902,40.4167754
"Kolkata","Kolkata","Kolkata","Kolkata",88.363895,22.572646
"Texas USA","Texas USA","Texas USA","Texas USA",-99.9018131,31.9685988
"Abuja, Nigeria","Abuja, Nigeria","Abuja  Nigeria","Abuja  Nigeria",7.398574,9.0764785
"Chalanties","Chalanties","Chalanties","Chalanties",7.003149,44.824491
"North of Chi, South of Heaven","North of Chi, South of Heaven","North of Chi  South of Heaven","North of Chi  South of Heaven",,
"Eugene, OR, USA","Eugene, OR, USA","Eugene  OR  USA","Eugene  OR  USA",-123.0867536,44.0520691
"Beantown, USA! ","Beantown, USA! ","Beantown  USA  ","Beantown  USA",-71.0588801,42.3600825
"California","California","California","California",-119.4179324,36.778261
"San Antonio","San Antonio","San Antonio","San Antonio",-98.4936282,29.4241219
"Tampa, FL","Tampa, FL","Tampa  FL","Tampa  FL",-82.4571776,27.950575
"Surrey, British Columbia","Surrey, British Columbia","Surrey  British Columbia","Surrey  British Columbia",-122.8490125,49.1913466
"malaysia","malaysia","malaysia","malaysia",101.975766,4.210484
"Grand Falls-Windsor, Newfoundl","Grand Falls-Windsor, Newfoundl","Grand Falls Windsor  Newfoundl","Grand Falls Windsor  Newfoundl",-55.6575025,48.9276687
"South Houston, TX","South Houston, TX","South Houston  TX","South Houston  TX",-95.2354902,29.663008
"Copenhagen, Denmark","Copenhagen, Denmark","Copenhagen  Denmark","Copenhagen  Denmark",12.5683372,55.6760968
"She/her","She/her","She her","She her",,
"La Paz, Bolivia","La Paz, Bolivia","La Paz  Bolivia","La Paz  Bolivia",-68.1192936,-16.489689
"Rochester, NY","Rochester, NY","Rochester  NY","Rochester  NY",-77.6088465,43.1565779
"MemeWorld.com","Meme.com","Meme com","Meme com",,
"Char","Char","Char","Char",-86.8142193,36.1046021
"Boston, Ma","Boston, Ma","Boston  Ma","Boston  Ma",-71.0588801,42.3600825
"Key West, FL","Key West, FL","Key West  FL","Key West  FL",-81.7799871,24.5550593
"Fukken AMERICA! <U+0001F1FA><U+0001F1F8>","Fukken AMERICA! ","Fukken AMERICA  ","Fukken AMERICA",,
"DeSoto Texas","DeSoto Texas","DeSoto Texas","DeSoto Texas",-96.8570738,32.5896998
"Rocky Mountains","Rocky Mountains","Rocky Mountains","Rocky Mountains",-109.7869527,44.2642998
"karachi, Sindh, Pakistan ","karachi, Sindh, Pakistan ","karachi  Sindh  Pakistan ","karachi  Sindh  Pakistan",67.0011364,24.8607343
"Toronto, Ontario","Toronto, Ontario","Toronto  Ontario","Toronto  Ontario",-79.3831843,43.653226
"Niterói, Brasil","Niterói, Brasil","Niterói  Brasil","Niterói  Brasil",-43.1152587,-22.8859267
"Central Texas","Central Texas","Central Texas","Central Texas",-97.6653991,30.2854944
"Seatttle","Seatttle","Seatttle","Seatttle",-122.3320708,47.6062095
"Caracas","Caracas","Caracas","Caracas",-66.9036063,10.4805937
"athens","athens","athens","athens",23.7275388,37.9838096
"Nova Scotia, Canada","Nova Scotia, Canada","Nova Scotia  Canada","Nova Scotia  Canada",-63.744311,44.6819866
"Highlands of Appalachia","Highlands of Appalachia","Highlands of Appalachia","Highlands of Appalachia",-82.5554751,35.611937
"Dominican Republic","Dominican Republic","Dominican Republic","Dominican Republic",-70.162651,18.735693
"Las Vegas","Las Vegas","Las Vegas","Las Vegas",-115.1398296,36.1699412
"Kuala Lumpur City, Kuala Lumpu","Kuala Lumpur City, Kuala Lumpu","Kuala Lumpur City  Kuala Lumpu","Kuala Lumpur City  Kuala Lumpu",101.7087354,3.1508644
"Bronx, NY","Bronx, NY","Bronx  NY","Bronx  NY",-73.8648268,40.8447819
"Sunny Florida, on a good day","Sunny Florida, on a good day","Sunny Florida  on a good day","Sunny Florida  on a good day",-81.959139,27.0552559
"W.Va  and  Port Colborne, Ontario","W.Va  and  Port Colborne, Ontario","W Va  and  Port Colborne  Ontario","W Va  and  Port Colborne  Ontario",-79.234451,42.8917408
"Indiana","Indiana","Indiana","Indiana",-86.1349019,40.2671941
"Northern Ireland","Northern Ireland","Northern Ireland","Northern Ireland",-6.4923145,54.7877149
"Calgary","Calgary","Calgary","Calgary",-114.0718831,51.0447331
"Los Angeles","Los Angeles","Los Angeles","Los Angeles",-118.2436849,34.0522342
"TEXAS","TEXAS","TEXAS","TEXAS",-99.9018131,31.9685988
"Brisbane, Australia","Brisbane, Australia","Brisbane  Australia","Brisbane  Australia",153.0251235,-27.4697707
"Middle-California","Middle-California","Middle California","Middle California",-119.7889248,36.9915398
"Illinois, USA","Illinois, USA","Illinois  USA","Illinois  USA",-89.3985283,40.6331249
"Utah, USA","Utah, USA","Utah  USA","Utah  USA",-111.0937311,39.3209801
"Texas #Merica","Texas #Merica","Texas  Merica","Texas  Merica",-99.9018131,31.9685988
"Dallas, TX","Dallas, TX","Dallas  TX","Dallas  TX",-96.7969879,32.7766642
"Brenham, TX","Brenham, TX","Brenham  TX","Brenham  TX",-96.3977442,30.1668828
"Guayaquil - Ecuador","Guayaquil - Ecuador","Guayaquil   Ecuador","Guayaquil   Ecuador",-79.8890662,-2.1894128
"Belgrano ","Belgrano ","Belgrano ","Belgrano",-58.4566864,-34.5620844
"NC","NC","NC","NC",-79.0192997,35.7595731
"GA","GA","GA","GA",-82.9000751,32.1656221
"Greenland, USA","Greenland, USA","Greenland  USA","Greenland  USA",-118.2628036,34.0483724
"Soul Society","Soul Society","Soul Society","Soul Society",-97.9253598,30.490204
"Columbus, OH","Columbus, OH","Columbus  OH","Columbus  OH",-82.9987942,39.9611755
"Pretoria","Pretoria","Pretoria","Pretoria",28.2292712,-25.7478676
"Mississippi, USA","Mississippi, USA","Mississippi  USA","Mississippi  USA",-89.3985283,32.3546679
"Dubai ex Melbourne and MCR","Dubai ex Melbourne and MCR","Dubai ex Melbourne and MCR","Dubai ex Melbourne and MCR",55.2707828,25.2048493
"Malvinas Argentinas, Argentina","Malvinas Argentinas, Argentina","Malvinas Argentinas  Argentina","Malvinas Argentinas  Argentina",-58.7101703,-34.4890265
"Land of the Free, Wise & Brave","Land of the Free, Wise & Brave","Land of the Free  Wise   Brave","Land of the Free  Wise   Brave",,
"Lynchburg Virginia","Lynchburg Virginia","Lynchburg Virginia","Lynchburg Virginia",-79.1422464,37.4137536
"Manchester","Manchester","Manchester","Manchester",-2.2426305,53.4807593
"Bogotá, D.C., Colombia","Bogotá, D.C., Colombia","Bogotá  D C   Colombia","Bogotá  D C   Colombia",-74.072092,4.7109886
"Stamford, CT","Stamford, CT","Stamford  CT","Stamford  CT",-73.5387341,41.0534302
"Kuwait","Kuwait","Kuwait","Kuwait",47.481766,29.31166
"Liberated Long Island, NY","Liberated Long Island, NY","Liberated Long Island  NY","Liberated Long Island  NY",-74.002579,40.717927
"Central to all things ","Central to all things ","Central to all things ","Central to all things",-94.1246157,45.2628059
" NYC<U+E51D>"," NYC"," NYC","NYC",-74.0059728,40.7127753
"Kumasi, Ghana","Kumasi, Ghana","Kumasi  Ghana","Kumasi  Ghana",-1.6162709,6.6666004
"Lago Norte, Brasília","Lago Norte, Brasília","Lago Norte  Brasília","Lago Norte  Brasília",-47.8583727,-15.7381203
"Seoul, Republic of Korea","Seoul, Republic of Korea","Seoul  Republic of Korea","Seoul  Republic of Korea",126.9779692,37.566535
"None Of Your Business","None Of Your Business","None Of Your Business","None Of Your Business",,
"Singapore","Singapore","Singapore","Singapore",103.819836,1.352083
"O tempora o mores!","O tempora o mores!","O tempora o mores ","O tempora o mores",,
"Lima, Peru","Lima, Peru","Lima  Peru","Lima  Peru",-77.042754,-12.0463731
"Bay Area /WS EPTX","Bay Area /WS EPTX","Bay Area  WS EPTX","Bay Area  WS EPTX",-122.2913078,37.8271784
"LACHUWAY","LACHUWAY","LACHUWAY","LACHUWAY",,
"Virtual USA territories","Virtual USA territories","Virtual USA territories","Virtual USA territories",,
"Montevideo, Uruguay","Montevideo, Uruguay","Montevideo  Uruguay","Montevideo  Uruguay",-56.1645314,-34.9011127
"Pune, India","Pune, India","Pune  India","Pune  India",73.8567437,18.5204303
"CT/NYC/MA","CT/NYC/MA","CT NYC MA","CT NYC MA",-73.4873138,42.0496357
"santiago de chile","santiago de chile","santiago de chile","santiago de chile",-70.6692655,-33.4488897
"Place is so relative","Place is so relative","Place is so relative","Place is so relative",,
"ALBANY, NY","ALBANY, NY","ALBANY  NY","ALBANY  NY",-73.7562317,42.6525793
"The World & Beyond","The  & Beyond","The    Beyond","The    Beyond",-73.804827,40.7092062
"Augusta, GA","Augusta, GA","Augusta  GA","Augusta  GA",-82.0105148,33.4734978
"calcutta","calcutta","calcutta","calcutta",88.363895,22.572646
"China is asshoe","China is asshoe","China is asshoe","China is asshoe",,
"VeryRichPeopleAreSociopaths","VeryRichPeopleAreSociopaths","VeryRichPeopleAreSociopaths","VeryRichPeopleAreSociopaths",,
"Fu","Fu","Fu","Fu",-95.9228355,36.0774844
"Tunnel Behind Yankees Dugout","Tunnel Behind Yankees Dugout","Tunnel Behind Yankees Dugout","Tunnel Behind Yankees Dugout",,
"Lebanon","Lebanon","Lebanon","Lebanon",35.862285,33.854721
"Obuasi - Ghana <U+0001F1EC><U+0001F1ED>","Obuasi - Ghana ","Obuasi   Ghana ","Obuasi   Ghana",-1.6912512,6.2012073
"Région Métropolitaine de Santi","Région Métropolitaine de Santi","Région Métropolitaine de Santi","Région Métropolitaine de Santi",-70.6504896,-33.4375545
"Gurgaon, India","Gurgaon, India","Gurgaon  India","Gurgaon  India",77.0266383,28.4594965
"Madrid, España","Madrid, España","Madrid  España","Madrid  España",-3.7037902,40.4167754
"El Planeta Tierra","El a Tierra","El a Tierra","El a Tierra",-105.053938,39.691606
"CARACAS","CARACAS","CARACAS","CARACAS",-66.9036063,10.4805937
"504|251|225","504|251|225","504|251|225","504|251|225",-91.0864217,30.4172297
" the milky way"," the "," the ","the",-95.712891,37.09024
"Southern US","Southern US","Southern US","Southern US",-95.958518,36.1797385
"cartagena","cartagena","cartagena","cartagena",-75.4832311,10.3932277
"Eureka, CA","Eureka, CA","Eureka  CA","Eureka  CA",-124.1636729,40.8020712
"El Salvador Centroamérica","El Salvador Centroamérica","El Salvador Centroamérica","El Salvador Centroamérica",-88.89653,13.794185
"Espana","Espana","Espana","Espana",-3.74922,40.463667
"Newark, CA","Newark, CA","Newark  CA","Newark  CA",-122.0383968,37.5299765
"Aurangabad maharastra","Aurangabad maharastra","Aurangabad maharastra","Aurangabad maharastra",75.3433139,19.8761653
"Norwalk, CT","Norwalk, CT","Norwalk  CT","Norwalk  CT",-73.4081575,41.117744
"Wisconsin Rapids, WI","Wisconsin Rapids, WI","Wisconsin Rapids  WI","Wisconsin Rapids  WI",-89.8173465,44.3835763
"Moon Base Alpha, The Moon","Moon Base Alpha, The Moon","Moon Base Alpha  The Moon","Moon Base Alpha  The Moon",,
"CCP Occupied Australia <U+0001F1E8><U+0001F1F3>","CCP Occupied Australia ","CCP Occupied Australia ","CCP Occupied Australia",,
